,Type,Year built,Heating,Cooling,Parking,Lot,Price/sqft,Total Price,Address,Square Feet,New construction,Bedrooms,Bathrooms,Full bathrooms,Half bathrooms,neighborhood_stats,URL,HOA,Status
143,Single Family,1998,Gas,Central,3 spaces,0.32 Acres,$166,"$554,900","2211 Joyce Ln, Naperville, IL 60564","3,346", No, 4, 4, 3, 1,"Home values in 60564 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in 60564 will rise 0.7% (↑) in the next year.This home is valued 28.7% higher (↑) than the median home in 60564.The median Zestimate® for this neighborhood is $431,287.",https://www.zillow.com/homedetails/2211-Joyce-Ln-Naperville-IL-60564/5367637_zpid/,,For Sale
144,Townhouse,1996,"Forced air, Gas",Central,2 spaces,No Data,$179,"$360,000","1407 Whitespire Ct UNIT 1407, Naperville, IL 60565","2,006", No, 3, 4, 3, 1,"Home values in 60565 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in 60565 will rise 1.2% (↑) in the next year.This home is valued 9.2% lower (↓) than the median home in 60565.The median Zestimate® for this neighborhood is $396,329.",https://www.zillow.com/homedetails/1407-Whitespire-Ct-UNIT-1407-Naperville-IL-60565/2077978389_zpid/,,For Sale
145,Single Family,2013,Forced air,Central,3 spaces,0.26 acres,$302,"$1,150,000","640 N Sleight St, Naperville, IL 60563","3,812", No, 5, 6, 5, 1,"Home values in 60563 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in 60563 will rise 0.9% (↑) in the next year.This home is valued 257.8% higher (↑) than the median home in 60563.The median Zestimate® for this neighborhood is $321,403.",https://www.zillow.com/homedetails/640-N-Sleight-St-Naperville-IL-60563/4536438_zpid/,,For Sale
146,Single Family,2017,Forced air,Central,3 spaces,"7,405 sqft",$307,"$1,125,000","845 N Eagle St, Naperville, IL 60563","3,663", No, 5, 5, 4, 1,"Home values in 60563 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in 60563 will rise 0.9% (↑) in the next year.This home is valued 250% higher (↑) than the median home in 60563.The median Zestimate® for this neighborhood is $321,403.",https://www.zillow.com/homedetails/845-N-Eagle-St-Naperville-IL-60563/4505388_zpid/,None,For Sale
147,Single Family,1963,Forced air,Central,2 spaces,0.29 Acres,,"$388,019","413 Tupelo Ave, Naperville, IL 60540","1,456", No, 4, 2,,,"Home values in 60540 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in Moser Highlands will increase 1.3% (↑) in the next year.This home is valued 100% lower (↓) than the median home in Moser Highlands.The median Zestimate® for this neighborhood is $413,252.",https://www.zillow.com/homedetails/413-Tupelo-Ave-Naperville-IL-60540/4514071_zpid/,,For Sale
148,Townhouse,2012,"Forced air, Gas",Central,2 spaces,"1,742 sqft",$182,"$325,000","2518 Dunraven Ave, Naperville, IL 60540","1,783", No, 3, 3, 2, 1,"Home values in 60540 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in 60540 will increase 1.3% (↑) in the next year.This home is valued 21.4% lower (↓) than the median home in 60540.The median Zestimate® for this neighborhood is $413,252.",https://www.zillow.com/homedetails/2518-Dunraven-Ave-Naperville-IL-60540/111938542_zpid/,,For Sale
149,Single Family,1995,Forced air,Central,3 spaces,0.37 acres,$157,"$579,900","2503 Saddlebrook Dr, Naperville, IL 60564","3,695", No, 5, 5, 4, 1,"Home values in 60564 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in White Eagle Club will increase 0.7% (↑) in the next year.This home is valued 34.5% higher (↑) than the median home in White Eagle Club.The median Zestimate® for this neighborhood is $431,287.",https://www.zillow.com/homedetails/2503-Saddlebrook-Dr-Naperville-IL-60564/5368210_zpid/,None,For Sale
150,Single Family,2019,"Forced air, Gas",Central,2 spaces,"10,018 sqft",$194,"$429,900","4003 Lobo Ln, Naperville, IL 60564","2,213", No, 2, 2, 2,,"Home values in 60564 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in Ashwood Crossing will increase 0.7% (↑) in the next year.This home is valued 0.3% lower (↓) than the median home in Ashwood Crossing.The median Zestimate® for this neighborhood is $431,287.",https://www.zillow.com/homedetails/4003-Lobo-Ln-Naperville-IL-60564/2077985203_zpid/,,For Sale
151,Single Family,1995,"Forced air, Gas",Central,3 spaces,0.35 Acres,$188,"$559,900","4388 Camelot Cir, Naperville, IL 60564","2,974", No, 5, 4, 4,,"Home values in 60564 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in River Run will rise 0.7% (↑) in the next year.This home is valued 29.8% higher (↑) than the median home in River Run.The median Zestimate® for this neighborhood is $431,287.",https://www.zillow.com/homedetails/4388-Camelot-Cir-Naperville-IL-60564/5372273_zpid/,,For Sale
152,Single Family,2002,Forced air,Central,Attached Garage,1.43 acres,,"$2,739,142","1239 Oxford Ln, Naperville, IL 60540","10,495", No, 6, 9, 7, 2,"Home values in 60540 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in 60540 will increase 1.3% (↑) in the next year.This home is valued 562.8% higher (↑) than the median home in 60540.The median Zestimate® for this neighborhood is $413,252.",https://www.zillow.com/homedetails/1239-Oxford-Ln-Naperville-IL-60540/55495761_zpid/,,For Sale
153,Single Family,1950,Forced air,Central,3 spaces,0.6 acres,$355,"$949,900","835 N Webster St, Naperville, IL 60563","2,673", No, 4, 4, 3, 1,"Home values in 60563 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in 60563 will increase 0.9% (↑) in the next year.This home is valued 195.5% higher (↑) than the median home in 60563.The median Zestimate® for this neighborhood is $321,403.",https://www.zillow.com/homedetails/835-N-Webster-St-Naperville-IL-60563/4505624_zpid/,None,For Sale
154,Condo,1979,Gas,Central,1 space,,$174,"$184,900","1138 Iroquois Ave #38, Naperville, IL 60563","1,065", No, 2, 2, 1, 1,"Home values in 60563 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in 60563 will rise 0.9% (↑) in the next year.This home is valued 42.5% lower (↓) than the median home in 60563.The median Zestimate® for this neighborhood is $321,403.",https://www.zillow.com/homedetails/1138-Iroquois-Ave-38-Naperville-IL-60563/2078013048_zpid/,$246/month,For Sale
155,Single Family,1998,"Forced air, Electric",Central,3 spaces,0.31 Acres,$161,"$669,999","2628 Saddlebrook Dr, Naperville, IL 60564","4,156", No, 6, 5, 4, 1,"Home values in 60564 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in White Eagle Club will rise 0.7% (↑) in the next year.This home is valued 55.3% higher (↑) than the median home in White Eagle Club.The median Zestimate® for this neighborhood is $431,287.",https://www.zillow.com/homedetails/2628-Saddlebrook-Dr-Naperville-IL-60564/5368399_zpid/,,For Sale
156,Condo,1974,No Data,No Data,No Data,,$135,"$148,000","5S040 Pebblewood Ln APT E105, Naperville, IL 60563","1,095", No, 2, 2, 1, 1,"Home values in 60563 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in 60563 will rise 0.9% (↑) in the next year.This home is valued 54% lower (↓) than the median home in 60563.The median Zestimate® for this neighborhood is $321,403.",https://www.zillow.com/homedetails/5S040-Pebblewood-Ln-APT-E105-Naperville-IL-60563/2078020019_zpid/,,For Sale
157,Single Family,1976,Forced air,Central,2 spaces,0.27 acres,$165,"$375,000","403 Brad Ct, Naperville, IL 60565","2,275", No, 4, 3, 2, 1,"Home values in 60565 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in 60565 will increase 1.2% (↑) in the next year.This home is valued 5.4% lower (↓) than the median home in 60565.The median Zestimate® for this neighborhood is $396,329.",https://www.zillow.com/homedetails/403-Brad-Ct-Naperville-IL-60565/4548216_zpid/,,For Sale
158,Single Family,2007,"Forced air, Gas",Central,2 spaces,"8,276 sqft",$212,"$539,900","2723 Melrose Ct, Naperville, IL 60564","2,550", No, 2, 3, 2, 1,"Home values in 60564 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in Carillon Club will increase 0.7% (↑) in the next year.This home is valued 25.2% higher (↑) than the median home in Carillon Club.The median Zestimate® for this neighborhood is $431,287.",https://www.zillow.com/homedetails/2723-Melrose-Ct-Naperville-IL-60564/89585756_zpid/,,For Sale
159,Townhouse,2020,No Data,No Data,2 spaces,No Data,$202,"$412,725","2949 Reflection Dr, Naperville, IL 60564",, Yes, 3, 3, 2, 1,"Home values in 60564 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in 60564 will increase 0.7% (↑) in the next year.This home is valued 4.3% lower (↓) than the median home in 60564.The median Zestimate® for this neighborhood is $431,287.",https://www.zillow.com/homedetails/2949-Reflection-Dr-Naperville-IL-60564/2078036134_zpid/,,For Sale
160,Single Family,1926,Gas,Central,1 space,"7,405 sqft",$246,"$438,500","139 N Wright St, Naperville, IL 60540","1,779", No, 3, 2, 2,,"Home values in 60540 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in Naperville Historic District will increase 1.3% (↑) in the next year.This home is valued 6.1% higher (↑) than the median home in Naperville Historic District.The median Zestimate® for this neighborhood is $413,252.",https://www.zillow.com/homedetails/139-N-Wright-St-Naperville-IL-60540/4536923_zpid/,,For Sale
161,Single Family,1989,Gas,Central,2 spaces,"8,276 sqft",$190,"$449,900","1872 Lisson Rd, Naperville, IL 60565","2,367", No, 4, 3, 2, 1,"Home values in 60565 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in University Heights will increase 1.2% (↑) in the next year.This home is valued 13.5% higher (↑) than the median home in University Heights.The median Zestimate® for this neighborhood is $396,329.",https://www.zillow.com/homedetails/1872-Lisson-Rd-Naperville-IL-60565/4554950_zpid/,,For Sale
162,Condo,1974,Forced air,Central,1 space,,$135,"$148,000","5S040 Pebblewood Ln E #105, Naperville, IL 60563","1,095", No, 2, 2, 1, 1,"Home values in 60563 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in 60563 will rise 0.9% (↑) in the next year.This home is valued 54% lower (↓) than the median home in 60563.The median Zestimate® for this neighborhood is $321,403.",https://www.zillow.com/homedetails/5S040-Pebblewood-Ln-E-105-Naperville-IL-60563/4501620_zpid/,$420/month,For Sale
163,Single Family,No Data,No Data,No Data,2 spaces,No Data,$165,"$539,990","Buildable plan: Woodside, Wagner Farms, Naperville, IL 60564",, Yes, 4, 3, 2, 1,"Home values in 60564 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in 60564 will increase 0.7% (↑) in the next year.This home is valued 25.2% higher (↑) than the median home in 60564.The median Zestimate® for this neighborhood is $431,287.",https://www.zillow.com/community/wagner-farms/2083326191_zpid/,,For Sale
164,Townhouse,2020,"Forced air, Gas",Central,2 spaces,No Data,$206,"$417,580","2947 Reflection Dr, Naperville, IL 60564","2,027", Yes, 3, 3, 2, 1,"Home values in 60564 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in 60564 will increase 0.7% (↑) in the next year.This home is valued 3.2% lower (↓) than the median home in 60564.The median Zestimate® for this neighborhood is $431,287.",https://www.zillow.com/homedetails/2947-Reflection-Dr-Naperville-IL-60564/2078045031_zpid/,,For Sale
165,Townhouse,2020,Forced air,Central,2 spaces,No Data,$196,"$398,725","2963 Reflection Dr, Naperville, IL 60564",, Yes, 3, 3, 2, 1,"Home values in 60564 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in 60564 will rise 0.7% (↑) in the next year.This home is valued 7.5% lower (↓) than the median home in 60564.The median Zestimate® for this neighborhood is $431,287.",https://www.zillow.com/homedetails/2963-Reflection-Dr-Naperville-IL-60564/2078045085_zpid/,$250/month,For Sale
166,Single Family,1985,Forced air,Central,2 spaces,0.42 acres,$227,"$745,000","1622 Kaimi Ct, Naperville, IL 60563","3,282", No, 4, 4, 4,,"Home values in 60563 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in Indian Hill will increase 0.9% (↑) in the next year.This home is valued 131.8% higher (↑) than the median home in Indian Hill.The median Zestimate® for this neighborhood is $321,403.",https://www.zillow.com/homedetails/1622-Kaimi-Ct-Naperville-IL-60563/4526234_zpid/,,For Sale
167,Townhouse,2020,Gas,Central,2 spaces,No Data,$181,"$361,810","4431 Monroe Ct LOT 13.04, Naperville, IL 60564","1,998", Yes, 2, 3, 2, 1,"Home values in 60564 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in 60564 will increase 0.7% (↑) in the next year.This home is valued 16.1% lower (↓) than the median home in 60564.The median Zestimate® for this neighborhood is $431,287.",https://www.zillow.com/homedetails/4431-Monroe-Ct-LOT-13-04-Naperville-IL-60564/2078047480_zpid/,$222/month,For Sale
168,Condo,1981,Forced air,Central,1 space,,$155,"$176,000","5S470 Scots Dr APT A, Naperville, IL 60563","1,136", No, 2, 2, 2,,"Home values in 60563 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in Scots Plains will rise 0.9% (↑) in the next year.This home is valued 45.2% lower (↓) than the median home in Scots Plains.The median Zestimate® for this neighborhood is $321,403.",https://www.zillow.com/homedetails/5S470-Scots-Dr-APT-A-Naperville-IL-60563/4502160_zpid/,$307/month,For Sale
169,Townhouse,1991,"Forced air, Gas",Central,2 spaces,"2,343 sqft",$213,"$349,900","1011 Bernette Ct, Naperville, IL 60540","1,641", No, 3, 3, 2, 1,"Home values in 60540 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in 60540 will rise 1.3% (↑) in the next year.This home is valued 15.3% lower (↓) than the median home in 60540.The median Zestimate® for this neighborhood is $413,252.",https://www.zillow.com/homedetails/1011-Bernette-Ct-Naperville-IL-60540/4536821_zpid/,,For Sale
170,Single Family,1955,Forced air,No Data,6 spaces,0.35 acres,$667,"$599,990","720 Parkside Rd, Naperville, IL 60540",900, No, 3, 2, 2,,"Home values in 60540 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in 60540 will increase 1.3% (↑) in the next year.This home is valued 45.2% higher (↑) than the median home in 60540.The median Zestimate® for this neighborhood is $413,252.",https://www.zillow.com/homedetails/720-Parkside-Rd-Naperville-IL-60540/4538018_zpid/,None,For Sale
171,Single Family,1995,"Forced air, Gas",Central,3 spaces,0.63 Acres,$135,"$830,000","215 Crooked Tree Ct, Naperville, IL 60565","6,145", No, 4, 5, 4, 1,"Home values in 60565 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in 60565 will increase 1.2% (↑) in the next year.This home is valued 109.4% higher (↑) than the median home in 60565.The median Zestimate® for this neighborhood is $396,329.",https://www.zillow.com/homedetails/215-Crooked-Tree-Ct-Naperville-IL-60565/5396660_zpid/,,For Sale
172,Single Family,1986,Gas,Central,2 spaces,0.29 acres,$191,"$395,900","1308 Marengo Ct, Naperville, IL 60564","2,076", No, 4, 3, 2, 1,"Home values in 60564 have risen 1.0 % (↑) over the past 12 months.Zillow predicts the home values in Spring Brook Crossings will rise 0.7% (↑) in the next year.This home is valued 8.2% lower (↓) than the median home in Spring Brook Crossings.The median Zestimate® for this neighborhood is $431,287.",https://www.zillow.com/homedetails/1308-Marengo-Ct-Naperville-IL-60564/5365992_zpid/,,For Sale
