,Type,Year built,Heating,Cooling,Parking,Price/sqft,Total Price,Address,New construction,Bedrooms,Bathrooms,Full bathrooms,neighborhood_stats,URL,Lot,Square Feet,HOA,Half bathrooms,Status
222,Townhouse,2001,"Forced air, Gas",Central,2 spaces,$235,"$564,900","2455 W Ohio St UNIT 13E, Chicago, IL 60612", No, 3, 3, 3,"Home values in West Town have risen 0.6% () over the past 12 months.Zillow predicts the home values in West Town will rise 1.7% () in the next year.This home is valued 11.3% higher () than the median home in West Town.The median Zestimate for this neighborhood is $507,475.",https://www.zillow.com/homedetails/2455-W-Ohio-St-UNIT-13E-Chicago-IL-60612/113950920_zpid/,No Data,"2,400",,,For Sale
223,Condo,2012,Heat pump,Central,2 spaces,"$1,046","$3,850,000","2550 N Lakeview Ave UNIT S2803, Chicago, IL 60614", No, 4, 5,,"Home values in Lincoln Park have risen 0.6% () over the past 12 months.Zillow predicts the home values in Lincoln Park will fall 0.8% () in the next year.This home is valued 596.5% higher () than the median home in Lincoln Park.The median Zestimate for this neighborhood is $552,789.",https://www.zillow.com/homedetails/2550-N-Lakeview-Ave-UNIT-S2803-Chicago-IL-60614/123559823_zpid/,,"3,679",No Data,,For Sale
224,Condo,1965,Radiant,Wall,1 space,$302,"$1,450,000","1440 N Lake Shore Dr #22ABCD, Chicago, IL 60610", No, 3, 5,,"Home values in Gold Coast have risen 0.6% () over the past 12 months.Zillow predicts the home values in Gold Coast will fall 2% () in the next year.This home is valued 172.4% higher () than the median home in Gold Coast.The median Zestimate for this neighborhood is $532,399.",https://www.zillow.com/homedetails/1440-N-Lake-Shore-Dr-22ABCD-Chicago-IL-60610/2077638434_zpid/,,"4,800",No Data,,For Sale
225,Multiple Occupancy,1929,Forced air,Central,2 spaces,,"$319,900","1917 S Ridgeway Ave, Chicago, IL 60623", No, 6, 5, 3,"Home values in 60623 have risen 0.6% () over the past 12 months.Zillow predicts the home values in Lawndale will increase 2.9% () in the next year.This home is valued 120.6% higher () than the median home in Lawndale.The median Zestimate for this neighborhood is $144,981.",https://www.zillow.com/homedetails/1917-S-Ridgeway-Ave-Chicago-IL-60623/2137137124_zpid/,,,, 2,For Sale
226,Single Family,1891,"Forced air, Gas",No Data,2 spaces,$35,"$124,000","2023 W James St, Chicago, IL 60609", No, 3, 2, 1,"Home values in Back of the Yards have risen 0.6% () over the past 12 months.Zillow predicts the home values in Back of the Yards will increase 12.3% () in the next year.This home is valued 32.6% higher () than the median home in Back of the Yards.The median Zestimate for this neighborhood is $93,520.",https://www.zillow.com/homedetails/2023-W-James-St-Chicago-IL-60609/3982317_zpid/,"3,550 sqft","3,550",, 1,For Sale
227,Multiple Occupancy,No Data,Gas,No Data,No Data,,"$649,000","4050 N Hermitage Ave, Chicago, IL 60613", No, 8, 4, 4,"Home values in 60613 have risen 0.6% () over the past 12 months.Zillow predicts the home values in South East Ravenswood will rise 0.2% () in the next year.This home is valued 85.2% higher () than the median home in South East Ravenswood.The median Zestimate for this neighborhood is $350,517.",https://www.zillow.com/homedetails/4050-N-Hermitage-Ave-Chicago-IL-60613/2094001218_zpid/,,,,,For Sale
228,Single Family,1890,"Forced air, Gas",No Data,2 spaces,$193,"$315,000","3214 S Racine Ave, Chicago, IL 60608", No, 4, 2, 2,"Home values in Bridgeport have risen 0.6% () over the past 12 months.Zillow predicts the home values in Bridgeport will decrease 0.2% () in the next year.This home is valued 13.1% lower () than the median home in Bridgeport.The median Zestimate for this neighborhood is $362,289.",https://www.zillow.com/homedetails/3214-S-Racine-Ave-Chicago-IL-60608/2077639651_zpid/,No Data,"1,633",,,For Sale
229,Multiple Occupancy,1916,Forced air,Central,6 spaces,$485,"$660,000","4518 N Central Park Ave, Chicago, IL 60625", No, 9, 3, 3,"Home values in Albany Park have risen 0.6% () over the past 12 months.Zillow predicts the home values in Albany Park will fall 1.1% () in the next year.This home is valued 109.7% higher () than the median home in Albany Park.The median Zestimate for this neighborhood is $314,708.",https://www.zillow.com/homedetails/4518-N-Central-Park-Ave-Chicago-IL-60625/2111340236_zpid/,,"1,360",,,For Sale
230,Condo,1985,"Forced air, Electric",Other,No Data,$183,"$165,000","801 S Plymouth Ct APT 308, Chicago, IL 60605", No, 1, 1, 1,"Home values in 60605 have risen 0.6% () over the past 12 months.Zillow predicts the home values in Dearborn Park will increase 1.6% () in the next year.This home is valued 57.2% lower () than the median home in Dearborn Park.The median Zestimate for this neighborhood is $385,652.",https://www.zillow.com/homedetails/801-S-Plymouth-Ct-APT-308-Chicago-IL-60605/3872761_zpid/,,900,$404/mo,,For Sale
231,Condo,1926,Gas,Central,None,$137,"$164,000","(Undisclosed Address), Chicago, IL 60625", No, 2, 2, 2,"Home values in Albany Park have risen 0.6% () over the past 12 months.Zillow predicts the home values in Albany Park will fall 1.1% () in the next year.This home is valued 47.9% lower () than the median home in Albany Park.The median Zestimate for this neighborhood is $314,708.",https://www.zillow.com/homedetails/Chicago-IL-60625/2136435701_zpid/,,"1,200",$248/month,,For Sale
232,Condo,No Data,"Forced air, Gas",Central,1 space,$604,"$1,100,000","1400 W Monroe St #5E, Chicago, IL 60607", Yes, 3, 3, 2,"Home values in Near West Side have risen 0.6% () over the past 12 months.Zillow predicts the home values in Near West Side will increase 1.8% () in the next year.This home is valued 161.4% higher () than the median home in Near West Side.The median Zestimate for this neighborhood is $420,759.",https://www.zillow.com/homedetails/1400-W-Monroe-St-5E-Chicago-IL-60607/2077640709_zpid/,,"1,821",$483/mo, 1,For Sale
233,Single Family,1916,"Forced air, Gas",Central,2 spaces,$247,"$425,000","4922 W Henderson St, Chicago, IL 60641", No, 4, 3, 3,"Home values in Cragin have risen 0.6% () over the past 12 months.Zillow predicts the home values in Cragin will fall 1.8% () in the next year.This home is valued 62.9% higher () than the median home in Cragin.The median Zestimate for this neighborhood is $260,825.",https://www.zillow.com/homedetails/4922-W-Henderson-St-Chicago-IL-60641/3664704_zpid/,"3,750 sqft","1,718",,,For Sale
234,Condo,1962,Baseboard,Wall,1 space,$243,"$170,000","3037 W Montrose Ave APT 2A, Chicago, IL 60618", No, 2, 1, 1,"Home values in Irving Park have risen 0.6% () over the past 12 months.Zillow predicts the home values in Irving Park will fall 1.1% () in the next year.This home is valued 57.7% lower () than the median home in Irving Park.The median Zestimate for this neighborhood is $401,421.",https://www.zillow.com/homedetails/3037-W-Montrose-Ave-APT-2A-Chicago-IL-60618/65549790_zpid/,,700,$168/month,,For Sale
235,Single Family,1893,Gas,Central,2 spaces,$154,"$185,000","1148 W 88th St, Chicago, IL 60620", No, 4, 2, 2,"Home values in Gresham have risen 0.6% () over the past 12 months.Zillow predicts the home values in Gresham will decrease 3.6% () in the next year.This home is valued 46.7% higher () than the median home in Gresham.The median Zestimate for this neighborhood is $126,118.",https://www.zillow.com/homedetails/1148-W-88th-St-Chicago-IL-60620/4120877_zpid/,"3,123 sqft","1,200",,,For Sale
236,Condo,1884,Forced air,Central,1 space,$306,"$375,000","515 N Noble St APT 604, Chicago, IL 60642", No, 1, 1, 1,"Home values in West Town have risen 0.6% () over the past 12 months.Zillow predicts the home values in West Town will increase 1.7% () in the next year.This home is valued 26.1% lower () than the median home in West Town.The median Zestimate for this neighborhood is $507,475.",https://www.zillow.com/homedetails/515-N-Noble-St-APT-604-Chicago-IL-60642/3861386_zpid/,,"1,225",$376/month,,For Sale
237,Single Family,1915,Forced air,Central,2 spaces,$174,"$279,900","2554 N Rutherford Ave, Chicago, IL 60707", No, 5, 4, 4,"Home values in Montclare have risen 0.6% () over the past 12 months.Zillow predicts the home values in Montclare will fall 2.1% () in the next year.This home is valued 8.9% higher () than the median home in Montclare.The median Zestimate for this neighborhood is $256,941.",https://www.zillow.com/homedetails/2554-N-Rutherford-Ave-Chicago-IL-60707/3679991_zpid/,"3,868 sqft","1,608",,,For Sale
238,Multiple Occupancy,1891,"Other, Gas",No Data,2 spaces,,"$219,900","4213 S Wells St, Chicago, IL 60609", No, 6, 2, 2,"Home values in 60609 have risen 0.6% () over the past 12 months.Zillow predicts the home values in Fuller Park will fall 0.4% () in the next year.This home is valued 23.6% higher () than the median home in Fuller Park.The median Zestimate for this neighborhood is $177,975.",https://www.zillow.com/homedetails/4213-S-Wells-St-Chicago-IL-60609/2139601981_zpid/,,,,,For Sale
239,Multi Family,1885,Other,No Data,3 spaces,No Data,"$105,000","4849 S Justine St, Chicago, IL 60609", No, 8, 3, 3,"Home values in Back of the Yards have risen 0.6% () over the past 12 months.Zillow predicts the home values in Back of the Yards will rise 12.3% () in the next year.This home is valued 12.3% higher () than the median home in Back of the Yards.The median Zestimate for this neighborhood is $93,520.",https://www.zillow.com/homedetails/4849-S-Justine-St-Chicago-IL-60609/2118772118_zpid/,,,,,For Sale
240,Single Family,1923,Forced air,Central,2 spaces,$145,"$279,000","4814 W Wrightwood Ave, Chicago, IL 60639", No, 4, 2, 2,"Home values in Cragin have risen 0.6% () over the past 12 months.Zillow predicts the home values in Cragin will decrease 1.8% () in the next year.This home is valued 7% higher () than the median home in Cragin.The median Zestimate for this neighborhood is $260,825.",https://www.zillow.com/homedetails/4814-W-Wrightwood-Ave-Chicago-IL-60639/3674397_zpid/,"4,094 sqft","1,923",,,For Sale
241,Condo,2020,Forced air,Central,1 space,$745,"$1,970,000","Floor plan: Plan B, Parkline Chicago, Chicago, IL 60601", Yes, 4, 4, 3,"Home values in The Loop have risen 0.6% () over the past 12 months.Zillow predicts the home values in The Loop will fall 3.3% () in the next year.This home is valued 433.7% higher () than the median home in The Loop.The median Zestimate for this neighborhood is $369,141.",https://www.zillow.com/community/parkline-chicago/2078738226_zpid/,,,No Data, 1,For Sale
242,Condo,1952,Baseboard,Other,1 space,$227,"$136,000","4980 N Marine Dr APT 1231, Chicago, IL 60640", No, 1, 1, 1,"Home values in Uptown have risen 0.6% () over the past 12 months.Zillow predicts the home values in Uptown will rise 2% () in the next year.This home is valued 55.2% lower () than the median home in Uptown.The median Zestimate for this neighborhood is $303,469.",https://www.zillow.com/homedetails/4980-N-Marine-Dr-APT-1231-Chicago-IL-60640/62008932_zpid/,,600,$486/month,,For Sale
243,Single Family,1993,Forced air,Central,2 spaces,$294,"$349,900","2110 N Moody Ave, Chicago, IL 60639", No, 5, 2, 2,"Home values in Galewood have risen 0.6% () over the past 12 months.Zillow predicts the home values in Galewood will rise 0.7% () in the next year.This home is valued 29.5% higher () than the median home in Galewood.The median Zestimate for this neighborhood is $270,111.",https://www.zillow.com/homedetails/2110-N-Moody-Ave-Chicago-IL-60639/3683250_zpid/,"3,746 sqft","1,190",,,For Sale
244,Condo,2008,Forced air,Central,1 space,$427,"$639,900","955 W Monroe St UNIT 2D, Chicago, IL 60607", No, 2, 2, 2,"Home values in Near West Side have risen 0.6% () over the past 12 months.Zillow predicts the home values in Near West Side will rise 1.8% () in the next year.This home is valued 52.1% higher () than the median home in Near West Side.The median Zestimate for this neighborhood is $420,759.",https://www.zillow.com/homedetails/955-W-Monroe-St-UNIT-2D-Chicago-IL-60607/89952012_zpid/,,"1,500",$358/month,,For Sale
245,Condo,2020,"Forced air, Gas",Central,1 space,$431,"$825,000","2939 N Clark St #3S, Chicago, IL 60657", Yes, 3, 3, 2,"Home values in Lake View East have risen 0.6% () over the past 12 months.Zillow predicts the home values in Lake View East will fall 0.6% () in the next year.This home is valued 161.5% higher () than the median home in Lake View East.The median Zestimate for this neighborhood is $315,541.",https://www.zillow.com/homedetails/2939-N-Clark-St-3S-Chicago-IL-60657/2077641572_zpid/,,"1,913",$400/mo, 1,For Sale
246,Multiple Occupancy,1895,Gas,No Data,4 spaces,,"$99,900","4232 W Gladys Ave, Chicago, IL 60624", No, 8, 2, 2,"Home values in West Garfield Park have risen 0.6% () over the past 12 months.Zillow predicts the home values in West Garfield Park will increase 7.1% () in the next year.This home is valued 11.8% lower () than the median home in West Garfield Park.The median Zestimate for this neighborhood is $113,328.",https://www.zillow.com/homedetails/4232-W-Gladys-Ave-Chicago-IL-60624/2101100530_zpid/,,,,,For Sale
247,Single Family,1933,Baseboard,No Data,1 space,$114,"$319,000","(Undisclosed Address), Chicago, IL 60634", No, 4, 2, 1,"Home values in Montclare have risen 0.6% () over the past 12 months.Zillow predicts the home values in Montclare will decrease 2.1% () in the next year.This home is valued 24.2% higher () than the median home in Montclare.The median Zestimate for this neighborhood is $256,941.",https://www.zillow.com/homedetails/Chicago-IL-60634/2077641610_zpid/,"4,538 sqft","2,800",None, 1,For Sale
248,Condo,1997,Forced air,Central,1 space,$152,"$269,900","2342 W Harrison St APT 2, Chicago, IL 60612", No, 3, 2, 2,"Home values in Tri-Taylor have risen 0.6% () over the past 12 months.Zillow predicts the home values in Tri-Taylor will fall 2.1% () in the next year.This home is valued 3.6% higher () than the median home in Tri-Taylor.The median Zestimate for this neighborhood is $260,631.",https://www.zillow.com/homedetails/2342-W-Harrison-St-APT-2-Chicago-IL-60612/60270629_zpid/,,"1,775",$200/month,,For Sale
249,Single Family,1973,Gas,Central,2 spaces,$118,"$159,900","11448 S Davol St, Chicago, IL 60643", No, 5, 2, 1,"Home values in Morgan Park have risen 0.6% () over the past 12 months.Zillow predicts the home values in Morgan Park will fall 1.9% () in the next year.This home is valued 3.7% higher () than the median home in Morgan Park.The median Zestimate for this neighborhood is $154,237.",https://www.zillow.com/homedetails/11448-S-Davol-St-Chicago-IL-60643/4148759_zpid/,"3,484 sqft","1,350",, 1,For Sale
250,Single Family,2018,Gas,Central,2 spaces,$275,"$825,000","2933 N Spaulding Ave, Chicago, IL 60618", No, 4, 4, 3,"Home values in Logan Square have risen 0.6% () over the past 12 months.Zillow predicts the home values in Logan Square will rise 1.6% () in the next year.This home is valued 104.4% higher () than the median home in Logan Square.The median Zestimate for this neighborhood is $403,670.",https://www.zillow.com/homedetails/2933-N-Spaulding-Ave-Chicago-IL-60618/65558272_zpid/,"3,092 sqft","3,000",, 1,For Sale
